Sex;Oornr;Geb_dat;Zeugnr;Beer;Geb_gew;Speen_gew;oud;K.H.;Opm.
B;91639;13-Dec-20;17/183;RONY;1;7.9;25;1;
B;91640;13-Dec-20;17/183;RONY;1.4;8.7;25;1;
B;91641;13-Dec-20;17/183;RONY;1.5;8.7;25;1;
B;91642;13-Dec-20;17/183;RONY;1.9;8.9;25;1;
B;91643;13-Dec-20;17/183;RONY;2;9;25;1;
B;91644;13-Dec-20;17/183;RONY;1.7;8.9;25;1;
B;91645;13-Dec-20;17/183;RONY;1.6;8.3;25;1;
B;91646;13-Dec-20;17/183;RONY;1.6;9.4;25;1;
Z;91551;13-Dec-20;17/183;RONY;1.3;9.1;25;1;
Z;91647;13-Dec-20;17/183;RONY;1.5;7.4;25;1;
Z;91648;13-Dec-20;17/183;RONY;1.7;10.3;25;1;
Z;91649;13-Dec-20;17/183;RONY;2.1;11.9;25;1;
Z;91650;13-Dec-20;17/183;RONY;1.4;9.1;25;1;
B;91481;09-Dec-20;19/92;TIELT;1.9;11.9;29;10;
B;91482;09-Dec-20;19/92;TIELT;1.8;9;29;10;
B;91483;09-Dec-20;19/92;TIELT;1.8;10.2;29;10;
Z;91484;09-Dec-20;19/92;TIELT;1.7;10.9;29;10;
Z;91485;09-Dec-20;19/92;TIELT;1.7;10.3;29;10;
B;91598;12-Dec-20;19/103;RONNY;1;7;26;11;
B;91599;12-Dec-20;19/103;RONNY;1.2;9.2;26;11;
B;91600;12-Dec-20;19/103;RONNY;1.5;8.1;26;11;
B;91601;12-Dec-20;19/103;RONNY;1.7;9.9;26;11;
B;91602;12-Dec-20;19/103;RONNY;1.7;10.2;26;11;
Z;91603;12-Dec-20;19/103;RONNY;1;6;26;11;
Z;91604;12-Dec-20;19/103;RONNY;1.4;8;26;11;
Z;91605;12-Dec-20;19/103;RONNY;1.4;9.5;26;11;
Z;91606;12-Dec-20;19/103;RONNY;1.4;8.8;26;11;
Z;91607;12-Dec-20;19/103;RONNY;1.7;9.3;26;11;
B;91540;11-Dec-20;19/91;TIELT;1.5;8.4;27;12;
B;91541;11-Dec-20;19/91;TIELT;1.9;9.6;27;12;
B;91542;11-Dec-20;19/91;TIELT;1.5;9.2;27;12;
B;91543;11-Dec-20;19/91;TIELT;1.7;8.8;27;12;
Z;91544;11-Dec-20;19/91;TIELT;1.8;10.4;27;12;
Z;91545;11-Dec-20;19/91;TIELT;1.6;7.8;27;12;
Z;91546;11-Dec-20;19/91;TIELT;1.6;8.9;27;12;
Z;91547;11-Dec-20;19/91;TIELT;1.7;9.2;27;12;
Z;91548;11-Dec-20;19/91;TIELT;1.6;8;27;12;
Z;91549;11-Dec-20;19/91;TIELT;1.8;10.3;27;12;
B;91652;13-Dec-20;19/98;RONNY;1.1;8.1;25;13;
B;91653;13-Dec-20;19/98;RONNY;1.3;7.5;25;13;
B;91654;13-Dec-20;19/98;RONNY;1.5;7.8;25;13;
B;91655;13-Dec-20;19/98;RONNY;1.6;8.7;25;13;
Z;91656;13-Dec-20;19/98;RONNY;0.6;4.6;25;13;
Z;91657;13-Dec-20;19/98;RONNY;0.9;6.5;25;13;
Z;91658;13-Dec-20;19/98;RONNY;1.4;7.8;25;13;
Z;91659;13-Dec-20;19/98;RONNY;1.3;9;25;13;
Z;91660;13-Dec-20;19/98;RONNY;1.6;9.9;25;13;
B;91608;12-Dec-20;17/41;RONNY;1.4;9.6;26;14;
B;91609;12-Dec-20;17/41;RONNY;1.6;10.5;26;14;
B;91610;12-Dec-20;17/41;RONNY;1.3;8.7;26;14;
B;91611;12-Dec-20;17/41;RONNY;1.6;10.8;26;14;
Z;91612;12-Dec-20;17/41;RONNY;1.2;7.3;26;14;
Z;91613;12-Dec-20;17/41;RONNY;1.3;8.3;26;14;breuk
Z;91614;12-Dec-20;17/41;RONNY;1.7;9.4;26;14;
Z;91615;12-Dec-20;17/41;RONNY;1.3;9.5;26;14;
B;91498;10-Dec-20;19/90;TIELT;0.9;6;28;15;
B;91499;10-Dec-20;19/90;TIELT;1.7;10;28;15;
B;91500;10-Dec-20;19/90;TIELT;2;10.3;28;15;
B;91501;10-Dec-20;19/90;TIELT;1.6;10.2;28;15;
B;91502;10-Dec-20;19/90;TIELT;2;9.4;28;15;
Z;91503;10-Dec-20;19/90;TIELT;1.6;8.7;28;15;
Z;91504;10-Dec-20;19/90;TIELT;1.5;8.2;28;15;
Z;91505;10-Dec-20;19/90;TIELT;1.1;9.1;28;15;
Z;91506;10-Dec-20;19/90;TIELT;1.7;7.4;28;15;
Z;91507;10-Dec-20;19/90;TIELT;0.9;4.7;28;15;
Z;91508;10-Dec-20;19/90;TIELT;0.9;6.2;28;15;
Z;91509;10-Dec-20;19/90;TIELT;1.1;8.3;28;15;
Z;91510;10-Dec-20;19/90;TIELT;1.7;9.7;28;15;
B;91631;12-Dec-20;19/156;RONNY;2.1;9.5;26;16;
B;91632;12-Dec-20;19/156;RONNY;2.2;12.2;26;16;
B;91633;12-Dec-20;19/156;RONNY;1.8;9.8;26;16;
B;91634;12-Dec-20;19/156;RONNY;2.2;10.3;26;16;dik oor
B;91635;12-Dec-20;19/156;RONNY;2.2;12.3;26;16;
Z;91636;12-Dec-20;19/156;RONNY;2;10;26;16;
Z;91637;12-Dec-20;19/156;RONNY;1.9;9.4;26;16;
Z;91638;12-Dec-20;19/156;RONNY;1.3;7.6;26;16;
B;91523;11-Dec-20;19/168;TIELT;0.9;6.3;27;17;
B;91524;11-Dec-20;19/168;TIELT;1.4;7;27;17;
B;91525;11-Dec-20;19/168;TIELT;1.6;8.1;27;17;
B;91526;11-Dec-20;19/168;TIELT;1.3;8.4;27;17;
B;91527;11-Dec-20;19/168;TIELT;1.6;5.7;27;17;
B;91528;11-Dec-20;19/168;TIELT;1.2;6.5;27;17;
B;91529;11-Dec-20;19/168;TIELT;1.3;8.7;27;17;
Z;91530;11-Dec-20;19/168;TIELT;0.9;3.8;27;17;
Z;91531;11-Dec-20;19/168;TIELT;0.8;4.2;27;17;
Z;91532;11-Dec-20;19/168;TIELT;1.1;7.1;27;17;
Z;91533;11-Dec-20;19/168;TIELT;0.9;5.3;27;17;
Z;91534;11-Dec-20;19/168;TIELT;1;5.7;27;17;
Z;91535;11-Dec-20;19/168;TIELT;1.1;7.5;27;17;
Z;91536;11-Dec-20;19/168;TIELT;1.3;5.7;27;17;
Z;91537;11-Dec-20;19/168;TIELT;1.5;7.2;27;17;
Z;91538;11-Dec-20;19/168;TIELT;1.4;8.1;27;17;
Z;91539;11-Dec-20;19/168;TIELT;1.8;8.3;27;17;
B;91486;09-Dec-20;19/101;URONSE;1.7;9.4;29;18;
B;91487;09-Dec-20;19/101;URONSE;1.1;6.1;29;18;
B;91488;09-Dec-20;19/101;URONSE;1.3;8.2;29;18;
B;91489;09-Dec-20;19/101;URONSE;1.1;8.7;29;18;
B;91490;09-Dec-20;19/101;URONSE;1.7;11.7;29;18;
B;91491;09-Dec-20;19/101;URONSE;1.7;8.8;29;18;
Z;91492;09-Dec-20;19/101;URONSE;1.2;9.3;29;18;
Z;91493;09-Dec-20;19/101;URONSE;1.6;9.8;29;18;
Z;91494;09-Dec-20;19/101;URONSE;1.2;6.7;29;18;
Z;91495;09-Dec-20;19/101;URONSE;1.5;6.2;29;18;
Z;91496;09-Dec-20;19/101;URONSE;1.9;12;29;18;
Z;91497;09-Dec-20;19/101;URONSE;2.1;8.4;29;18;
B;91560;11-Dec-20;19/141;RONNY;1.3;8.7;27;2;
B;91561;11-Dec-20;19/141;RONNY;1;5.8;27;2;
B;91562;11-Dec-20;19/141;RONNY;1.6;9.9;27;2;
B;91563;11-Dec-20;19/141;RONNY;1.7;7.5;27;2;
B;91564;11-Dec-20;19/141;RONNY;1.6;9.4;27;2;
B;91565;11-Dec-20;19/141;RONNY;1.7;11.6;27;2;
Z;91566;11-Dec-20;19/141;RONNY;0.9;7;27;2;
Z;91567;11-Dec-20;19/141;RONNY;1.3;8;27;2;
Z;91568;11-Dec-20;19/141;RONNY;1.3;8;27;2;ziek
Z;91569;11-Dec-20;19/141;RONNY;1.5;8.4;27;2;
Z;91570;11-Dec-20;19/141;RONNY;1.8;7.1;27;2;
Z;91571;11-Dec-20;19/141;RONNY;1.5;9.6;27;2;
B;91511;10-Dec-20;19/45;URONSE;1.5;7.9;28;3;
B;91512;10-Dec-20;19/45;URONSE;1.5;8.5;28;3;
B;91513;10-Dec-20;19/45;URONSE;1.2;4.5;28;3;
B;91514;10-Dec-20;19/45;URONSE;1.6;9.4;28;3;
B;91515;10-Dec-20;19/45;URONSE;1.2;7.1;28;3;
Z;91516;10-Dec-20;19/45;URONSE;1.3;8.1;28;3;
Z;91517;10-Dec-20;19/45;URONSE;1.2;7.9;28;3;
Z;91518;10-Dec-20;19/45;URONSE;1.2;7.9;28;3;
Z;91519;10-Dec-20;19/45;URONSE;1.3;6;28;3;
Z;91520;10-Dec-20;19/45;URONSE;1.2;7.5;28;3;
Z;91521;10-Dec-20;19/45;URONSE;1.3;9.4;28;3;
Z;91522;10-Dec-20;19/45;URONSE;1.3;7.2;28;3;
B;91616;12-Dec-20;19/104;TIELT;1.3;7.3;26;4;
B;91617;12-Dec-20;19/104;TIELT;1.1;6.9;26;4;
B;91618;12-Dec-20;19/104;TIELT;1.2;5.8;26;4;
B;91619;12-Dec-20;19/104;TIELT;1.2;7;26;4;
B;91620;12-Dec-20;19/104;TIELT;1.5;7.2;26;4;
B;91621;12-Dec-20;19/104;TIELT;1.6;8.8;26;4;
B;91622;12-Dec-20;19/104;TIELT;1.4;7;26;4;
B;91623;12-Dec-20;19/104;TIELT;1.4;8.3;26;4;
B;91624;12-Dec-20;19/104;TIELT;1.7;10.1;26;4;
B;91625;12-Dec-20;19/104;TIELT;1.1;5.5;26;4;
Z;91626;12-Dec-20;19/104;TIELT;1.3;8;26;4;
Z;91627;12-Dec-20;19/104;TIELT;1.1;7.7;26;4;
B;91572;11-Dec-20;19/83;URONSE;1;5.5;27;5;
B;91573;11-Dec-20;19/83;URONSE;1.1;4.9;27;5;
B;91574;11-Dec-20;19/83;URONSE;1.5;8.6;27;5;
B;91575;11-Dec-20;19/83;URONSE;1.6;9.3;27;5;
B;91576;11-Dec-20;19/83;URONSE;1.5;8.3;27;5;
Z;91577;11-Dec-20;19/83;URONSE;1.2;6.8;27;5;
